topic,hashtag,tweet_id,image_path,sample_path,body_text,image_text,text_with_OCR
Mask,masks,1293635002773786626,./data_Mask/masks/tweets2/EfPqLYDWsAAXQPI.jpg,,"Join my office this week as we co-host a few giveaways including food boxes, masks, &amp; hand sanitizers.  

Supplies are limited &amp; will be distributed on a first come, first serve basis. 

#masks #handsanitizers #foodboxes #bronx #nyc #giveaway https://t.co/DSjfR5Al47",,New York State al Senator Dar Rater ACT FOOD BOX AND MASK DATE August LOCATION Park East Corner of Street Se ce US Ea RA and Hand Provided By
Vaccine,CoronavirusVaccine,1293151031505821696,./data_Vaccine/CoronavirusVaccine/tweets2/EfIx5eFVoAAltxk.jpg,./annotation_data/Vaccine/EfIx5eFVoAAltxk.jpg,"#RussianVaccine

Russia registered world first #CoronavirusVaccine, President Vladimir Putin says his own  daughter vaccinated with that #RussianVaccine......🙏🏻🙏🏻 https://t.co/TuQIZiQv03",,ann pina ae ey at PRESIDENT WITH THE VACCINE
Mask,WearAMask,1292792814049177601,./data_Mask/WearAMask/tweets2/EefN0wNXYAII6eM.jpg,,"My adventures in Electronica 💿 @DesignMuseum 😷
#Art #ElectronicMusic #CeraAlba #WearAMask https://t.co/WohhXEnkFq",,NI ae ae
Political,Trump2020,1290096753144807425,./data_Political/Trump2020/tweets1/EedYKPYXkAAonhv.jpg,,"@RepAdamSchiff @Gerrrrrrrr8 Let me make this #PerfectlyClear
#Trump2020
#GodBlessAmerica 
#GodBlessPresidentTrump https://t.co/YZE1LMTPkv",,Its no longer on versus the its versus socialism House Majority Leader
Political,Election2020,1300138098475450368,./data_Political/Election2020/tweets5/EgsEtdFU8AAMywZ.jpg,,Via @MotherJones: Former Intel Officials Thought Mueller Was Investigating Trump’s Personal and Financial Ties to Russia. He Wasn’t. https://t.co/l5uE4oaeGV | #politics #trump #election2020 https://t.co/WhrSJOeKsS,,Bu Bo se whey
Boomer,karen,1297131490585784321,./data_Boomer/karen/tweets4/EgBWN0UXsAAcil_.jpg,,"Good morning Karen......how many of you agree with Karen’s pronunciation????  
More to come in separate tweet #Karen #whatdidusay https://t.co/UPMNHluDLd",,Aluminum War aa Oe
Immigration,immigration,1290831908998221825,./data_Immigration/immigration/tweets1/Een0xkMU0AAyyEl.jpg,./annotation_data/Immigration/Een0xkMU0AAyyEl.jpg,"Up until December 31, 2020 #IRCCC will not deduct the study time completed by #internationalstudents outside of Canada for the purposes of their Post-Graduation Work Permit (PGWP). 

#canada #immigration #travel #study #foreign #studypermit #work #study #stay #pgwp #canadajobs https://t.co/G73N9iMYd5",,Ey
Boomer,trumpliesamericansdie,1293543007816314880,./data_Boomer/trumpliesamericansdie/tweets2/EfOWgevXkAU9XWG.jpg,,"@realDonaldTrump @foxandfriends @MariaBartiromo Not this one!
#TrumpIsANationalDisgrace 
#TrumpVirusCatastrophe #TrumpHasNoPlan #TrumpIsUnwell #TrumpLiesAmericansDie https://t.co/vznzxC3KBs",,Mary Trump We are going to take our country back Thank you is going to be our next Its time VOTE
Immigration,cdnpoli,1289977533673254913,./data_Immigration/cdnpoli/tweets1/EebrujFUYAAEoy0.jpg,./annotation_data/Immigration/EebrujFUYAAEoy0.jpg,"Donald J #Trump, aka The Donald, media marvel, but...
FAILURE TO DELIVER. #uspoli #GOP #maga2020 #kag2020 #covidiots #covid19 #POTUS45 #FoxNews #cdnpoli https://t.co/ZQ5gA6PlpL",,pi GE if AE ES
Political,Trump2020,1296968968289345536,./data_Political/Trump2020/tweets4/Ef_CZSBWkAAP-FV.jpg,,"“Straight Outta Tha Communist Manifesto”
#JoeBlow #JoeAndTheHoe #Trump2020 #Trump2020Landslide https://t.co/kHCLnLh0P0",,IF THIS WAS ALBUM COVER vee WOULD YOU IT ne Ge io oe date ne tA we Wo oS
