,hashtag,tweet_id,image_path,body_text,text_with_OCR,image_text_cleaned
499,ChinaVirus,1292496403634073600,./data_AsianHate/ChinaVirus/tweets2/Ee_enELUEAERTsr.jpg,"@DrTedros It’s time to quit for all.

#CCPVirus 
#ChinaVirus 
#Chinazi https://t.co/01FIHi6mjC",ANS  er  y  ee  Res  4  eS  ay  if  WAS  ee  y  v2  AR  i  AA  Ke  4  inl!  Al  A ,ANS er y ee Res 4 eS ay if WAS ee y v2 AR i AA Ke 4 inl Al A 
500,ChinaVirus,1292565446424702978,./data_AsianHate/ChinaVirus/tweets2/EfAdbCxX0AcAdSq.jpg,"China's New Tick Virus starts spreading.
Watch
https://t.co/ccLfv23UEm

#BJP
#IndiaChinaFaceOff
#IndiaChinaBorder #indiachinastandoff #IndiaChinaBorderTension #India #chinatickvirus #tickborne #news #RafaleJets #RamMandir #RamMandirAyodhya #Ayodhya #binodmemes #ChinaVirus #Hindu https://t.co/vLYwW8lWcT",Smog  bro  ue DE)  wedi  After Covid19 4  f  China's New Virus ,Smog bro ue DE wedi After Covid19 4 f China s New Virus 
501,ChinaVirus,1292504884789612545,./data_AsianHate/ChinaVirus/tweets2/Ee_mMH-XkAMXYil.png,"#ChinaVirus UPDATE=&gt;
Big big states continue to be bad for America:
https://t.co/8kzNmlLvah
#LiberalismIsTheRealPandemic https://t.co/KYmYMYimVf","Death rates trom coronavieus (COVID-19) In the Linited States as of August 3, 2020, by  Sete)  coe  ve  en vom  rs  Pree  cS  coe  mas  roan  e  sa  tt  Ey  oy  Ea ",Death rates trom coronavieus COVID 19 In the Linited States as of August 3 2020 by Sete coe ve en vom rs Pree cS coe mas roan e sa tt Ey oy Ea 
502,ChinaVirus,1292516808700735488,./data_AsianHate/ChinaVirus/tweets2/Ee_w9_PVAAYx6hQ.jpg,Found on #Parler; #ChinaVirus #COVID19 #Coronavirus #lockdown #Shutdown https://t.co/lusM1YZMhu,"Dr. David Samadi, MD @  ace  @drdavidsamadi  id  There have been 65,756,307  COVID-19 tests conducted in the  USA  Today we hit 5,000,000 positive  tests  That's less than 10% positive cases  from these tests  Why are we shutting the world  down again? ",Dr David Samadi MD ace drdavidsamadi id There have been 65 756 307 COVID 19 tests conducted in the USA Today we hit 5 000 000 positive tests That s less than 10 positive cases from these tests Why are we shutting the world down again 
503,ChinaVirus,1292495599175008256,./data_AsianHate/ChinaVirus/tweets2/Ee_d5OlU4AAqlxd.jpg,"@DanaBashCNN: were you a rude, toxic, dishonest, divisive #FakeNews activist then or now, during the #ChinaVirus pandemic?

How on earth have you pissed away your long term credibility over short term hate for @realDonaldTrump?
@CNN 

@larry_kudlow 
@PressSec 
@DonaldJTrumpJr https://t.co/HUR6xQQNcd",Fraud  Alert ,Fraud Alert 
504,ChinaVirus,1292533435161083907,./data_AsianHate/ChinaVirus/tweets2/EfAATvVXoAMGJBf.jpg,"@JoeBiden Apparently, throwing unicorn dust at the climate change myth will stop the #ChinaVirus and restore the economy to pre-invasion levels.  No thanks #EmptyVesselJoe. https://t.co/SOlFDH0RcW","NCRIED BECAUSE HAD, NOIHAT  0° i  \F  erg  “Nal  vu tr  fee  t  UNTILL ‘MET. h MAN THATHADINO  AD.NO|BRAIN ",NCRIED BECAUSE HAD NOIHAT 0 i F erg Nal vu tr fee t UNTILL MET h MAN THATHADINO AD NO BRAIN 
505,ChinaVirus,1292613167907053571,./data_AsianHate/ChinaVirus/tweets2/EfBI0mgWkAAxnMc.jpg,"OMG 😱 #SharkWeek is on!! Even the #ChinaVirus cannot stop these amazing animals 🦈.

You know what I'll be doing from 7p - 10p this week. https://t.co/3aKw3BcNVW",rae  >  > ,rae 
506,ChinaVirus,1292527063031672832,./data_AsianHate/ChinaVirus/tweets2/Ee_6g2wUcAELMXP.jpg,"@HuXijin_GT #CCP = #ChinaVirus = #WuhanVirus 
#WuhanVirus = #Biochemicalweapon 
they r same thing. a big threaten to the world 
propaganda Hudog can only fool ur ppl https://t.co/8Dz7CwFQxM","OO - @  i  Poa  He  ai  I a  ""  1 WeSittl ",OO i Poa He ai I a 1 WeSittl 
507,ChinaVirus,1292504182507831298,./data_AsianHate/ChinaVirus/tweets2/Ee_ls-nWoAUXDJU.jpg,"The newest print for the Chinese 1 yuan, featuring #COVID19, as one of their very few successful projects.
#china_Get_out_of_Iran
#No2IRChinaTreaty
#ChinaVirus
#KhameneiVirus
#sundayvibes https://t.co/U7WX3WOyO0",Py wn Ke  ras  a  os  As  er  «  ip  a  oA  “Ga  ie  Ney t  18  ee  of  os  E 19tQ 1698  EA  FLadaae  Atrat  Poe  mS  Seas ,Py wn Ke ras a os As er ip a oA Ga ie Ney t 18 ee of os E 19tQ 1698 EA FLadaae Atrat Poe mS Seas 
508,ChinaVirus,1292537418554527747,./data_AsianHate/ChinaVirus/tweets2/EfADYBNX0AAcS7n.png,"Is this true?
 #ChinaVirus #coronavirus @PMOIndia https://t.co/0hre6ceszP",Up eu!  fee I Ra cae eS  iw] ¢ [os] ] 2]  Cd  - @  try  |  24  6 & $ ¢g  Cn  wr  ~  %  =  oF  \'  “oN ,Up eu fee I Ra cae eS iw os 2 Cd try 24 6 g Cn wr oF oN 
509,ChinaVirus,1292525695055343616,./data_AsianHate/ChinaVirus/tweets2/Ee_5Qy5X0AEvvR4.jpg,What really matters...#sundayvibes #COVID19 #ChinaVirus #memeboi #Bernie2020 #chinesefood #getinmybelly #stopoppressingthebuffet @VerMemeIstan https://t.co/YQG1bLj3iF,ae  Loy  nz  Bt  as  9  i  7  oie  ‘(  ee  lam once again asking  for void  Chinese Buffets to be opened  imgfip.com ,ae Loy nz Bt as 9 i 7 oie ee lam once again asking for void Chinese Buffets to be opened imgfip com 
510,ChinaVirus,1292493876817801217,./data_AsianHate/ChinaVirus/tweets2/Ee_cU_oX0AAF-9b.jpg,"Liberal tears on the fake #ChinaVirus 

Cry me a River, the virus is a hoax!!! https://t.co/7DGOBcothw","David W. Nagy  \  David W. Nagy passed away  on July 22, 2020 in eure (Oe)  at Christus Good Shepherd  eye  in Longview. He  wv  suffered greatly from the  Re oe COVID-19 virus  =  A  Pe ee icici  MOY CMT Maat eS  =o  Meee ear Rea emeerae  Mr. Nagy was born Nov. 7,  1940 in Salt Lake City, Utah,  1g  Pr Rs cee aC  ean EM CRUE Ce cmrCrC  in Northeast Texas many years  PY OMe esetehy AMAL MU)  Cais Rte cee ears  aE eee SC Roane neue Raich  Peewee Cm tm eae Lee RCE) BE Cy  Pu eersec uC umacrie ec UUCCh ae Bis toe  OU Bue eee a mos Cm Ma  EC SEL tee ee CH Cun nung tl oe  on Trump, Abbott and ail the other politicians who did not take  this pandemic seriously and were more concerned with their  7 DoE RUC oa EL aCe  4  7 a  fo blame are the many ignorant, self centered and  who refused to follow the advice of the medical  besa RUE CCR ae tere eee  ida?  Ey Stresses Ce  iStted by the family declared that Dave did  Supposed to do, but you did not. Shame on  Lei ave ",David W Nagy David W Nagy passed away on July 22 2020 in eure Oe at Christus Good Shepherd eye in Longview He wv suffered greatly from the Re oe COVID 19 virus A Pe ee icici MOY CMT Maat eS o Meee ear Rea emeerae Mr Nagy was born Nov 7 1940 in Salt Lake City Utah 1g Pr Rs cee aC ean EM CRUE Ce cmrCrC in Northeast Texas many years PY OMe esetehy AMAL MU Cais Rte cee ears aE eee SC Roane neue Raich Peewee Cm tm eae Lee RCE BE Cy Pu eersec uC umacrie ec UUCCh ae Bis toe OU Bue eee a mos Cm Ma EC SEL tee ee CH Cun nung tl oe on Trump Abbott and ail the other politicians who did not take this pandemic seriously and were more concerned with their 7 DoE RUC oa EL aCe 4 7 a fo blame are the many ignorant self centered and who refused to follow the advice of the medical besa RUE CCR ae tere eee ida Ey Stresses Ce iStted by the family declared that Dave did Supposed to do but you did not Shame on Lei ave 
511,ChinaVirus,1292231939978657792,./data_AsianHate/ChinaVirus/tweets2/Ee7uGXQXgAA-FbT.jpg,@CTVNews More fear and death propaganda....#obey #fear #comply #chinavirus https://t.co/TtYuYLoBBV,"a.  ee  Woors  a  he  a“  io  my)  .  im  S  riers  : EY  WAL S}  ib  ATAREOUIRES  3  fc eu  Bu  NY  oF  a  —  EXAGGERATED VIRUS’MODELS  FAULTY TESTING KITS,  CDC’S GUIDANCE FOR CERTIFYING  COVID-79 DEATH  re]  Puy  ty  a  a  lo  S  A)  cer  ort COVID-19 ¢  uc  or  an  umed,”  RIGGED RESULTS,  (@\ FALSIFIED) OEATH|CER TIFICATES,  St:  met  gi  q  ate  ’  ‘  ~  _  BUT PSYCHOLOGICAL OPERATIONS DO  "" ",a ee Woors a he a io my im S riers EY WAL S ib ATAREOUIRES 3 fc eu Bu NY oF a EXAGGERATED VIRUS MODELS FAULTY TESTING KITS CDC S GUIDANCE FOR CERTIFYING COVID 79 DEATH re Puy ty a a lo S A cer ort COVID 19 uc or an umed RIGGED RESULTS FALSIFIED OEATH CER TIFICATES St met gi q ate BUT PSYCHOLOGICAL OPERATIONS DO 
512,ChinaVirus,1292265797679747073,./data_AsianHate/ChinaVirus/tweets2/Ee8M40IX0AI15dV.jpg,@JoeBiden Tell your friend Xi!!! #ChinaVirus https://t.co/aFhJZk2Plr,* *  c >  CHINA JOE  tngfrp.com , c CHINA JOE tngfrp com 
513,ChinaVirus,1292468918213378048,./data_AsianHate/ChinaVirus/tweets2/Ee_FoQpWsAgahIU.jpg,@SenateDems @SenateHistory @SenateGOP #Compromise #CommonSense #Now @SenateFloor #stopStalling #Getit2gether 🇺🇸@WhiteHouse @POTUS help the American people Now please. Meanwhile #ChinaVirus economic health is stronger than ever. @SpeakerPelosi #SigntheCompromise https://t.co/mSylh0B06d,Cee Casas  ia  panes Se  ca  |  a  ia  fan TRADE WAI  i  Sy  ‘eC  Pe  a  os  = *  a  Ne ,Cee Casas ia panes Se ca a ia fan TRADE WAI i Sy eC Pe a os a Ne 
514,ChinaVirus,1292368297715855360,./data_AsianHate/ChinaVirus/tweets2/Ee9qHWSUMAAkPEM.jpg,"@bhatnagar76 #FakeNews lol 🤣 &amp; btw YOU HAVE THE #chinavirus #coronavirus 

#SaturdayNight RT https://t.co/nwPqgWVo4A",Wt  VSN  rect EAE \\ | ,Wt VSN rect EAE 
515,ChinaVirus,1292288874320818178,./data_AsianHate/ChinaVirus/tweets2/Ee8h0o8U0AMY6_f.jpg,"VIDEO: 2020 AUG 08 DO NOTHING DEMS VS. TRUMP BEDMINSTER; FOUR CHINA VIRUS RELIEF EO’S

#4cminewswire, #Bedminster, #COVID19 #Relief, #ChinaVirus, #4cminews, #4CMiTV, #4CM2020AUG08,

WATCH HERE: https://t.co/4sxaXoXWrE https://t.co/CLBHpB24zu",120  A  WH.GOV  S  gj  SS  %  >  WA)  YM Ce cg  4  7  cae  Fd  an  b  J  ¢  —_—  —_—  aT ,120 A WH GOV S gj SS WA YM Ce cg 4 7 cae Fd an b J aT 
516,ChinaVirus,1292258400143900673,./data_AsianHate/ChinaVirus/tweets2/Ee8GKjtWkAIHfHc.jpg,@SenSchumer You’re a disgrace to all Americans! Stop using the #chinavirus for your twisted #Democratic agenda! #DemocratsTheEnemyWithin https://t.co/zMdkcIS7aA,"a  Schumer  The hstructionist  edd,  Plans to sto  B  ruma & American’s  agenda infevery way,  iA  Nile can ",a Schumer The hstructionist edd Plans to sto B ruma American s agenda infevery way iA Nile can 
517,ChinaVirus,1292399368301973505,./data_AsianHate/ChinaVirus/tweets2/Ee-FskRU0AUXAMK.jpg,"🇨🇳

          Xi  JINPING  -  THE  BUTCHER  OF  BEIJING
.
.

#COVID19Vic #COVID19Aus #IStandWithDan #DanAndrews #beltandroadscam #Beltandroad #COVID19Victoria #covid19australia #Covid19UK #covid19SA #Covid19 #CCPVirus #ChinaVirus https://t.co/amTH6mlseu","co  *  Lb  «  TWENTY MILLION —  750,000 MURDERED  MILLIONS PERMANENTLY DISABLED ",co Lb TWENTY MILLION 750 000 MURDERED MILLIONS PERMANENTLY DISABLED 
518,ChinaVirus,1292426383235395585,./data_AsianHate/ChinaVirus/tweets2/Ee-e8k2WoBE-pIV.jpg,"This meme is a perfect example of the #DemocRAT thought process. @realDonaldTrump signs EOs yesterday to HELP the American People during this #ChinaVirus ""crisis"", &amp; now the #IdiotLeft is wanting to sue #Trump for trying to help Americans. Yep...#Trump2020LandslideVictory https://t.co/0a6VVbd5BN","nN  ]  a a  ee)  WAS A KID BACK IN  SCRANTON A WHEEL FELL OFF;  EE  MY. CANOE, WHICH MADE ME  WONDER HOW MANY PANCAKES  FITIN A DOGHOUSE  NONE BECAUSE ICE CREAM  DOESN'T HAVE BOHES ",nN a a ee WAS A KID BACK IN SCRANTON A WHEEL FELL OFF EE MY CANOE WHICH MADE ME WONDER HOW MANY PANCAKES FITIN A DOGHOUSE NONE BECAUSE ICE CREAM DOESN T HAVE BOHES 
