id,proba,label
5000,4.254639861756005e-05,0
5001,2.7682131985784508e-05,0
5002,1.1489085409266409e-05,0
5003,5.7394472605665214e-06,0
5004,1.1091876331192909e-05,0
5005,8.865009294822812e-05,0
5006,4.655170778278261e-05,0
5007,2.9669319701497443e-05,0
5008,9.493281140748875e-06,0
5009,1.1137050933029968e-05,0
5010,3.901455056620762e-05,0
5011,1.1590064787014852e-05,0
5012,1.6750356735428795e-05,0
5013,0.0060874158516526,0
5014,2.315903657290619e-05,0
5015,2.4779979867162183e-05,0
5016,1.0271533028571866e-05,0
5017,0.9995881915092468,1
5018,2.292770477652084e-05,0
5019,4.8339925342588685e-06,0
5020,0.0001612660125829,0
5021,1.2076618077117018e-05,0
5022,1.7824762835516594e-05,0
5023,0.6805270314216614,1
5024,4.882452412857674e-05,0
5025,0.9975675344467164,1
5026,6.785131063224981e-06,0
5027,0.0001370524259982,0
5028,1.4202953025233e-05,0
5029,1.360568330710521e-05,0
5030,1.652568425924983e-05,0
5031,0.0048802159726619,0
5032,7.699882189626805e-06,0
5033,1.0156243661185728e-05,0
5034,0.0003035183763131,0
5035,0.0001084056202671,0
5036,0.9975458979606628,1
5037,0.0001226499007316,0
5038,0.0001531427260488,0
5039,0.9994158744812012,1
5040,8.14049708424136e-05,0
5041,0.983245849609375,1
5042,7.024942533462308e-06,0
5043,4.288981290301308e-05,0
5044,0.0106272865086793,0
5045,6.546128133777529e-06,0
5046,0.0139602441340684,0
5047,0.999874711036682,1
5048,0.999556005001068,1
5049,0.9996084570884703,1
5050,0.1442089676856994,0
5051,0.9347415566444396,1
5052,1.1456545507826377e-05,0
5053,1.126691040553851e-05,0
5054,0.0028944099321961,0
5055,0.9998286962509156,1
5056,9.011811926029624e-06,0
5057,0.0273786336183547,0
5058,5.216383215156384e-06,0
5059,8.206687198253348e-05,0
5060,2.697364652703982e-05,0
5061,1.0825536264746916e-05,0
5062,0.000120556265756,0
5063,0.6436778903007507,1
5064,1.220968806592282e-05,0
5065,0.9931401610374452,1
5066,0.6294804811477661,1
5067,4.266276300768368e-05,0
5068,2.085836240439676e-05,0
5069,2.291826058353763e-05,0
5070,0.0005081281997263,0
5071,0.0021260092034935,0
5072,0.000125227481476,0
5073,0.96425062417984,1
5074,0.0001521526573924,0
